📺央视频道,#genre#
CCTV1,http://113.200.114.168:20000/hls/1/index.m3u8
CCTV2,http://113.200.114.168:20000/hls/2/index.m3u8
CCTV3,http://113.200.114.168:20000/hls/3/index.m3u8
CCTV4,http://113.200.114.168:20000/hls/4/index.m3u8
CCTV5,http://113.200.114.168:20000/hls/5/index.m3u8
CCTV6,http://113.200.114.168:20000/hls/6/index.m3u8
CCTV7,http://113.200.114.168:20000/hls/7/index.m3u8
CCTV8,http://113.200.114.168:20000/hls/8/index.m3u8
CCTV9,http://113.200.114.168:20000/hls/9/index.m3u8
CCTV10,http://113.200.114.168:20000/hls/10/index.m3u8
CCTV11,http://113.200.114.168:20000/hls/11/index.m3u8
CCTV12,http://113.200.114.168:20000/hls/12/index.m3u8
CCTV13,http://113.200.114.168:20000/hls/13/index.m3u8
CCTV-少儿,http://113.200.114.168:20000/hls/14/index.m3u8
CCTV15,http://113.200.114.168:20000/hls/15/index.m3u8
CCTV-NEWS,http://113.200.114.168:20000/hls/16/index.m3u8
CCTV2,http://123.14.232.226:8888/hls/2/index.m3u8
CCTV3,http://123.14.232.226:8888/hls/3/index.m3u8
CCTV4,http://123.14.232.226:8888/hls/4/index.m3u8
CCTV5,http://123.14.232.226:8888/hls/5/index.m3u8
CCTV6,http://123.14.232.226:8888/hls/6/index.m3u8
CCTV7,http://123.14.232.226:8888/hls/7/index.m3u8
CCTV8,http://123.14.232.226:8888/hls/8/index.m3u8
CCTV9,http://123.14.232.226:8888/hls/9/index.m3u8
CCTV10,http://123.14.232.226:8888/hls/10/index.m3u8
CCTV11,http://123.14.232.226:8888/hls/11/index.m3u8
CCTV12,http://123.14.232.226:8888/hls/12/index.m3u8
CCTV13,http://123.14.232.226:8888/hls/13/index.m3u8
CCTV14,http://123.14.232.226:8888/hls/14/index.m3u8
CCTV15,http://123.14.232.226:8888/hls/15/index.m3u8
CCTV17,http://123.14.232.226:8888/hls/17/index.m3u8
CCTV5,http://123.14.232.226:8888/hls/18/index.m3u8
CCTV1,http://123.14.232.226:8888/hls/1/index.m3u8
CCTV1,http://123.14.79.54:8090/hls/1/index.m3u8
CCTV2,http://123.14.79.54:8090/hls/2/index.m3u8
CCTV3,http://123.14.79.54:8090/hls/3/index.m3u8
CCTV4,http://123.14.79.54:8090/hls/4/index.m3u8
CCTV5,http://123.14.79.54:8090/hls/5/index.m3u8
CCTV6,http://123.14.79.54:8090/hls/6/index.m3u8
CCTV7,http://123.14.79.54:8090/hls/7/index.m3u8
CCTV8,http://123.14.79.54:8090/hls/8/index.m3u8
CCTV9,http://123.14.79.54:8090/hls/9/index.m3u8
CCTV10,http://123.14.79.54:8090/hls/10/index.m3u8
CCTV11,http://123.14.79.54:8090/hls/11/index.m3u8
CCTV12,http://123.14.79.54:8090/hls/12/index.m3u8
CCTV13,http://123.14.79.54:8090/hls/13/index.m3u8
CCTV14,http://123.14.79.54:8090/hls/14/index.m3u8
CCTV15,http://123.14.79.54:8090/hls/15/index.m3u8
CCTV1,http://125.40.54.153:8888/hls/1/index.m3u8
CCTV2,http://125.40.54.153:8888/hls/2/index.m3u8
CCTV3,http://125.40.54.153:8888/hls/3/index.m3u8
CCTV4,http://125.40.54.153:8888/hls/4/index.m3u8
CCTV5,http://125.40.54.153:8888/hls/5/index.m3u8
CCTV6,http://125.40.54.153:8888/hls/6/index.m3u8
CCTV7,http://125.40.54.153:8888/hls/7/index.m3u8
