📺其他频道,#genre#
中央一台,http://42.49.176.207:808/hls/1/index.m3u8
中央二台,http://42.49.176.207:808/hls/2/index.m3u8
中央三台,http://42.49.176.207:808/hls/3/index.m3u8
中央四台,http://42.49.176.207:808/hls/4/index.m3u8
中央五台,http://42.49.176.207:808/hls/5/index.m3u8
中央六台,http://42.49.176.207:808/hls/7/index.m3u8
中央七台,http://42.49.176.207:808/hls/8/index.m3u8
中央八台,http://42.49.176.207:808/hls/9/index.m3u8
中央九台,http://42.49.176.207:808/hls/10/index.m3u8
中央十台,http://42.49.176.207:808/hls/11/index.m3u8
中央十一台,http://42.49.176.207:808/hls/12/index.m3u8
中央十二台,http://42.49.176.207:808/hls/13/index.m3u8
中央十三台,http://42.49.176.207:808/hls/14/index.m3u8
中央十四台,http://42.49.176.207:808/hls/15/index.m3u8
中央十五台,http://42.49.176.207:808/hls/16/index.m3u8
中央十七台,http://42.49.176.207:808/hls/17/index.m3u8
长沙新闻,http://42.49.176.207:808/hls/28/index.m3u8
长沙政法,http://42.49.176.207:808/hls/29/index.m3u8
民生,http://171.11.198.125:5000/hls/18/index.m3u8
法制,http://171.11.198.125:5000/hls/19/index.m3u8
深圳,http://171.11.198.125:5000/hls/38/index.m3u8
CGTN,http://221.14.142.118:8000/hls/16/index.m3u8
少儿动画,http://39.88.195.180:9003/hls/24/index.m3u8
QTV-6教育,http://39.88.195.180:9003/hls/40/index.m3u8
📺央视频道,#genre#
CCTV5,http://42.49.176.207:808/hls/6/index.m3u8
CCTV1,http://171.11.198.125:5000/hls/1/index.m3u8
CCTV2,http://171.11.198.125:5000/hls/2/index.m3u8
CCTV3,http://171.11.198.125:5000/hls/3/index.m3u8
CCTV4,http://171.11.198.125:5000/hls/4/index.m3u8
CCTV5,http://171.11.198.125:5000/hls/5/index.m3u8
CCTV6,http://171.11.198.125:5000/hls/6/index.m3u8
CCTV7,http://171.11.198.125:5000/hls/7/index.m3u8
CCTV8,http://171.11.198.125:5000/hls/8/index.m3u8
CCTV9,http://171.11.198.125:5000/hls/9/index.m3u8
CCTV10,http://171.11.198.125:5000/hls/10/index.m3u8
CCTV11,http://171.11.198.125:5000/hls/11/index.m3u8
CCTV12,http://171.11.198.125:5000/hls/12/index.m3u8
CCTV13,http://171.11.198.125:5000/hls/13/index.m3u8
CCTV14,http://171.11.198.125:5000/hls/14/index.m3u8
CCTV15,http://171.11.198.125:5000/hls/15/index.m3u8
CCTV1,http://221.14.142.118:8000/hls/1/index.m3u8
